Concurso,Dia,Mes,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Bola16,Bola17,Bola18,Bola19,Bola20
2024,22,11,19,2,8,19,31,33,38,39,42,43,44,54,61,64,72,73,75,78,81,89,100
2025,26,11,19,9,12,27,29,31,35,36,37,39,51,55,62,70,75,76,83,84,91,92,94
2026,29,11,19,1,7,8,16,17,21,22,27,36,37,44,56,63,66,68,79,85,88,93,94
2027,3,12,19,12,15,22,24,27,28,30,31,33,37,49,59,65,69,70,76,86,87,95,99
2028,6,12,19,12,15,21,24,27,29,30,33,35,46,49,57,68,71,77,80,86,89,99,100
2029,10,12,19,3,12,21,29,35,37,48,51,56,59,60,61,64,74,81,84,86,90,95,99
2030,13,12,19,15,16,19,21,24,25,33,39,41,47,59,60,62,63,69,70,71,83,90,91
2031,17,12,19,9,11,19,23,32,35,38,42,50,52,66,69,71,73,77,78,80,81,91,96
2032,20,12,19,1,2,4,6,8,10,11,14,46,49,50,57,63,70,73,85,87,93,95,100
2033,24,12,19,6,8,10,20,21,23,31,34,35,37,40,48,56,75,80,81,86,90,98,99
2034,27,12,19,1,2,4,9,11,12,17,19,27,28,32,34,42,48,52,53,54,58,66,99
2035,30,12,19,5,7,8,10,17,29,32,35,42,54,56,67,68,70,80,84,85,90,98,99
2036,3,1,20,1,5,10,21,22,24,32,39,41,42,49,51,63,69,70,72,81,89,91,96
2037,7,1,20,4,8,10,23,29,30,39,41,50,56,64,65,71,73,80,81,84,88,95,99
2038,10,1,20,2,6,10,14,15,20,25,27,28,42,46,57,61,62,70,72,74,84,90,93
2039,14,1,20,1,2,3,6,9,19,22,34,39,45,47,49,68,69,81,83,85,93,98,99
2040,17,1,20,14,23,27,32,33,34,39,49,51,57,61,67,77,79,81,86,93,97,99,100
2041,21,1,20,11,20,31,41,44,55,60,61,64,68,69,70,74,81,83,84,85,86,90,94
2042,24,1,20,4,8,9,12,17,19,21,29,40,43,57,67,73,74,80,89,93,94,96,97
2043,28,1,20,8,12,17,18,31,41,44,54,74,80,82,83,84,85,87,88,90,93,95,98
2044,31,1,20,7,13,18,22,23,27,30,45,48,49,50,58,60,61,73,75,76,79,82,92
2045,4,2,20,2,6,8,9,11,14,29,42,46,47,60,65,71,75,76,81,82,88,90,99
2046,7,2,20,5,12,14,15,17,25,27,38,44,50,51,53,65,68,71,74,78,81,87,89
2047,11,2,20,5,10,11,19,20,23,25,29,34,40,42,44,51,62,65,67,84,88,93,97
2048,14,2,20,4,11,12,15,16,26,32,42,43,45,46,55,56,65,67,69,75,76,79,84
2049,18,2,20,1,3,4,7,10,13,16,26,30,31,33,51,59,70,73,76,82,90,92,100
2050,21,2,20,1,4,6,17,23,24,33,35,46,50,55,59,70,77,79,86,88,90,98,100
2051,26,2,20,4,8,9,17,19,21,24,30,34,36,58,60,61,63,66,77,82,85,90,98
2052,28,2,20,7,8,10,14,20,26,33,37,40,41,42,49,51,53,62,69,75,76,97,100
2053,3,3,20,3,5,7,8,13,16,18,20,24,30,36,59,60,61,62,72,75,91,94,100
2054,6,3,20,3,6,9,16,18,21,26,30,35,44,56,57,62,63,65,71,79,82,90,95
2055,10,3,20,5,9,13,20,23,34,41,49,57,61,65,69,72,76,79,80,84,86,92,98
2056,13,3,20,2,6,13,14,18,20,25,27,38,54,59,60,61,67,68,76,77,83,86,96
2057,17,3,20,1,6,24,43,47,50,56,60,68,71,75,76,78,80,82,83,85,89,97,98
2058,20,3,20,2,4,8,21,24,25,26,27,31,42,45,63,64,68,78,82,86,88,95,97
2059,24,3,20,9,12,25,26,29,31,35,39,45,46,51,55,58,62,70,72,73,92,96,97
2060,27,3,20,13,17,33,34,37,38,39,44,50,52,56,57,62,65,66,68,76,79,91,93
2061,31,3,20,6,22,25,31,32,40,41,42,46,55,56,62,68,69,72,83,86,94,98,100
2062,3,4,20,7,9,10,15,18,19,21,26,29,35,39,42,48,54,58,66,69,78,88,90
2063,7,4,20,2,4,5,8,9,13,19,20,21,36,46,61,76,81,87,90,91,92,93,95
2064,11,4,20,1,2,3,4,5,6,7,11,18,33,37,41,49,56,57,62,67,72,82,99
2065,14,4,20,1,4,8,11,13,16,19,22,27,31,38,46,47,51,61,66,69,86,90,99
2066,17,4,20,3,5,15,30,31,41,55,56,57,58,64,67,71,73,75,81,83,84,99,100
2067,20,4,20,3,14,21,41,51,55,56,63,64,77,79,81,82,84,85,89,90,91,92,96
2068,24,4,20,3,14,21,36,37,44,47,49,50,52,56,58,60,61,68,70,73,88,89,100
2069,28,4,20,2,3,4,7,8,11,16,23,25,30,34,43,49,54,64,65,67,68,81,91
2070,2,5,20,10,12,14,21,30,37,41,42,44,47,48,51,54,58,60,69,76,82,98,99
2071,5,5,20,11,23,24,25,28,29,36,38,41,42,60,74,80,85,86,88,90,95,99,100
2072,8,5,20,10,17,18,19,25,26,43,48,49,53,56,69,74,77,80,83,86,87,90,96
2073,12,5,20,5,8,12,14,17,20,24,26,29,30,42,51,59,64,70,71,76,79,92,100
2074,15,5,20,4,7,13,16,20,34,45,47,52,54,55,56,58,60,65,72,91,92,95,96
2075,19,5,20,11,12,14,21,25,26,30,35,36,46,53,56,58,60,66,69,78,85,87,100
2076,22,5,20,3,6,10,16,25,33,34,44,51,52,53,56,67,77,81,83,87,97,99,100
2077,26,5,20,11,12,16,17,20,21,22,23,24,25,27,28,39,50,52,62,73,85,92,94
2078,29,5,20,5,14,15,22,24,26,28,30,42,43,50,53,55,58,59,68,78,96,99,100
2079,2,6,20,6,31,34,36,39,43,44,45,51,52,54,62,63,64,65,69,72,78,79,84
2080,5,6,20,1,7,9,11,12,20,29,31,39,41,42,54,55,59,67,69,72,73,74,87
2081,9,6,20,1,3,4,18,23,29,30,43,48,50,57,63,73,79,80,86,87,94,95,100
2082,12,6,20,5,13,19,20,25,28,42,44,49,54,55,57,66,68,76,78,84,86,89,90
2083,16,6,20,5,9,12,14,24,29,32,41,44,54,57,66,68,72,74,76,89,90,93,94
2084,19,6,20,9,12,14,17,20,23,24,27,34,43,46,47,51,59,65,72,73,78,89,94
2085,23,6,20,2,8,13,15,25,29,32,35,39,40,42,44,50,54,61,64,65,66,71,73
2086,26,6,20,3,14,19,20,21,23,24,27,29,32,40,47,48,50,53,56,65,69,71,76
2087,30,6,20,1,4,7,9,11,23,24,30,36,37,47,51,52,56,59,65,67,75,82,95
2088,3,7,20,2,4,11,12,14,15,26,28,31,38,39,43,53,67,69,70,75,82,87,94
2089,7,7,20,3,8,15,17,18,23,24,38,39,42,53,59,69,76,77,81,86,88,91,93
2090,10,7,20,4,5,8,16,17,18,20,22,24,25,27,33,40,52,63,81,85,86,91,93
2091,14,7,20,8,14,22,26,28,31,33,35,42,43,44,49,50,52,53,64,78,89,91,96
2092,17,7,20,6,9,10,20,28,31,52,53,55,57,59,60,61,63,64,69,71,78,80,98
2093,21,7,20,10,13,17,18,24,31,32,34,39,45,48,49,58,62,64,66,71,76,88,91
2094,24,7,20,4,24,29,31,35,48,49,54,57,58,64,68,74,82,89,90,92,94,96,97
2095,28,7,20,4,5,13,14,15,22,25,34,43,51,52,54,58,60,63,76,84,88,90,97
2096,31,7,20,2,5,8,14,21,28,33,36,38,46,47,53,60,62,65,71,72,81,82,97
2097,4,8,20,8,10,22,33,36,48,49,50,52,54,58,64,66,67,71,86,89,91,98,100
2098,7,8,20,2,10,13,18,23,25,36,38,41,53,60,62,64,68,71,76,83,93,94,100
2099,11,8,20,1,4,19,28,29,31,32,38,40,42,43,46,59,64,80,84,85,86,90,99
2100,14,8,20,9,11,12,18,26,38,39,42,48,49,63,67,70,72,74,77,82,87,93,97
2101,18,8,20,1,6,8,11,12,13,20,22,23,34,36,39,53,56,60,73,86,88,92,98
2102,21,8,20,4,8,11,15,18,27,32,37,39,43,44,59,61,62,70,80,85,90,91,100
2103,25,8,20,2,13,21,32,35,38,39,49,63,65,71,73,77,78,81,88,92,93,94,98
2104,28,8,20,9,15,19,21,23,24,37,39,46,62,63,64,66,69,74,80,90,91,97,98
2105,1,9,20,7,9,12,13,22,29,35,36,37,39,41,50,52,54,57,81,87,90,92,96
2106,4,9,20,7,10,11,16,22,31,34,36,41,45,48,49,65,78,82,83,84,86,87,94
2107,8,9,20,4,10,11,12,16,20,24,36,48,55,59,60,64,67,72,75,79,82,88,96
2108,11,9,20,1,4,7,9,14,17,18,22,25,30,42,48,50,52,57,59,65,70,71,96
2109,15,9,20,7,9,15,17,26,27,30,39,43,47,51,53,54,57,73,82,89,94,97,99
2110,18,9,20,2,4,6,8,14,16,26,29,34,54,61,64,68,71,73,77,81,93,94,96
2111,22,9,20,5,12,15,17,39,42,43,46,51,64,65,72,75,77,82,86,87,94,97,99
2112,25,9,20,4,17,23,25,31,36,38,40,42,52,56,59,71,78,82,83,84,92,97,98
2113,29,9,20,9,14,20,25,26,33,35,36,49,50,55,58,59,66,71,75,76,87,94,99
2114,2,10,20,4,5,10,13,23,24,25,29,37,40,43,44,46,49,54,56,65,93,98,99
2115,6,10,20,4,7,8,11,15,17,19,20,24,32,36,41,43,44,46,48,60,76,78,86
2116,9,10,20,2,5,7,14,20,23,39,44,48,50,63,64,78,80,81,82,83,90,94,100
2117,13,10,20,5,22,30,34,35,39,44,49,55,58,68,75,76,78,84,85,88,94,95,96
2118,16,10,20,2,10,12,16,19,46,51,52,57,64,71,72,75,80,81,82,84,88,99,100
2119,20,10,20,1,4,7,9,12,13,19,23,32,33,43,44,48,64,78,79,82,88,89,91
2120,23,10,20,1,7,9,10,11,15,24,50,51,52,59,60,64,75,77,78,95,98,99,100
2121,27,10,20,2,14,20,23,24,37,38,43,49,54,71,75,76,80,87,90,93,94,98,100
2122,30,10,20,3,5,6,8,11,12,16,23,30,32,38,39,47,54,57,64,70,71,74,76
2123,3,11,20,1,6,14,15,22,31,41,53,54,56,62,65,67,70,71,73,75,78,81,83
2124,6,11,20,8,13,19,22,29,32,33,45,47,49,56,57,65,70,75,82,87,89,91,99
2125,10,11,20,2,5,9,15,19,25,31,35,41,45,47,49,50,52,55,59,66,67,83,94
2126,13,11,20,2,4,9,24,26,44,46,52,54,55,56,62,63,65,68,84,90,91,97,98
2127,17,11,20,1,2,11,12,29,33,37,40,48,49,50,52,53,61,70,72,75,82,96,100
2128,20,11,20,3,6,8,20,22,25,28,35,36,43,44,50,54,61,66,70,73,86,96,97
2129,24,11,20,3,5,16,28,30,35,36,41,49,51,53,57,58,68,69,70,72,79,93,96
2130,27,11,20,4,16,29,30,32,40,48,50,57,66,70,80,84,85,86,92,93,94,99,100
2131,1,12,20,2,14,16,20,22,32,33,36,42,45,54,59,60,74,75,76,80,86,87,88
2132,4,12,20,3,4,9,13,19,28,30,31,36,58,62,71,73,74,78,89,90,95,97,98
2133,8,12,20,2,4,7,10,12,13,21,22,25,27,41,47,53,68,75,79,81,83,86,91
2134,11,12,20,1,2,14,17,20,28,29,30,33,38,42,52,61,64,66,81,84,88,97,100
2135,15,12,20,2,23,33,35,40,42,49,53,55,57,59,62,63,65,68,73,77,87,93,94
2136,18,12,20,1,2,3,8,9,10,16,22,30,38,44,51,55,62,65,67,70,77,81,99
2137,22,12,20,7,8,13,29,31,32,34,48,63,64,66,70,72,76,78,79,82,84,86,99
2138,26,12,20,6,7,8,18,19,25,28,29,30,39,50,51,54,57,74,76,82,92,94,98
2139,29,12,20,2,7,17,18,21,22,25,29,31,33,42,45,47,52,61,64,65,73,93,97
2140,2,1,21,5,11,16,17,21,23,24,30,33,39,40,47,48,50,52,78,85,86,89,98
2141,5,1,21,5,13,16,18,25,31,40,45,47,49,52,54,55,64,65,67,71,77,92,95
2142,8,1,21,5,7,28,32,33,34,35,40,41,45,55,59,64,72,73,79,80,81,87,88
2143,12,1,21,2,13,16,29,32,41,48,50,52,58,63,66,70,80,82,83,85,92,96,99
2144,15,1,21,11,13,16,19,22,25,29,31,33,35,37,47,50,64,66,83,86,87,93,97
2145,19,1,21,8,12,16,18,22,23,28,29,30,32,34,35,52,66,68,70,73,75,82,98
2146,22,1,21,1,9,38,42,43,44,45,46,49,51,55,57,65,67,75,83,85,86,88,97
2147,26,1,21,2,19,24,36,41,44,45,46,61,62,64,67,72,73,76,78,87,88,93,95
2148,29,1,21,1,3,23,24,26,32,41,43,44,46,49,58,59,69,71,80,83,84,95,100
2149,2,2,21,11,24,33,39,40,42,47,53,57,58,63,65,67,68,75,85,89,91,93,95
2150,5,2,21,1,2,13,15,16,19,30,45,46,54,56,59,61,65,72,75,81,82,83,86
2151,9,2,21,4,5,11,24,27,30,31,34,46,50,53,61,64,70,80,83,86,90,96,100
2152,12,2,21,2,6,9,27,32,37,45,50,54,62,66,71,73,74,76,82,84,88,90,98
2153,17,2,21,2,5,13,14,20,28,30,31,40,49,53,59,62,63,66,70,73,80,88,89
2154,19,2,21,7,8,11,12,20,21,34,42,59,60,65,66,73,77,83,84,86,95,99,100
2155,23,2,21,2,5,8,9,11,13,26,32,40,43,44,55,66,74,78,81,83,84,90,99
2156,26,2,21,2,9,14,33,34,36,39,49,50,52,53,54,62,66,74,75,85,92,93,99
2157,2,3,21,4,8,10,17,19,20,21,30,34,41,48,60,62,72,79,88,91,95,96,100
2158,5,3,21,4,5,6,7,9,21,22,26,27,38,44,45,61,68,73,83,91,96,99,100
2159,9,3,21,1,11,12,16,18,22,28,29,30,31,34,40,42,52,56,72,76,83,89,100
2160,12,3,21,1,9,15,24,25,31,34,35,37,40,41,42,48,56,62,64,65,69,74,79
2161,16,3,21,20,21,31,40,42,43,44,46,47,51,53,54,62,63,64,68,76,77,84,86
2162,19,3,21,7,11,21,32,34,35,36,37,45,49,51,58,65,67,70,75,86,87,93,98
2163,23,3,21,2,17,20,23,28,34,45,46,49,50,52,57,62,72,81,86,94,95,99,100
2164,26,3,21,2,6,7,12,15,19,21,24,28,47,48,55,60,71,78,84,86,89,91,93
2165,30,3,21,2,10,11,19,21,34,35,37,42,48,54,55,58,71,74,77,79,82,91,92
2166,3,4,21,3,6,9,13,14,19,21,28,29,40,45,54,56,69,75,76,89,90,94,100
2167,6,4,21,2,7,18,26,27,37,38,39,43,47,51,54,57,61,67,71,77,82,88,99
2168,9,4,21,4,7,9,11,26,32,34,37,49,59,66,68,73,76,79,83,88,92,96,99
2169,13,4,21,5,7,8,22,28,35,45,51,53,58,61,66,68,70,75,80,81,87,98,99
2170,16,4,21,8,11,13,31,38,48,50,51,57,60,63,74,76,79,83,85,91,92,93,97
2171,20,4,21,3,12,14,17,19,20,23,27,35,37,47,51,64,67,72,76,81,83,94,99
2172,23,4,21,2,3,4,8,9,13,16,20,25,29,30,32,38,49,51,53,54,55,69,82
2173,27,4,21,4,17,23,24,27,36,44,45,49,53,64,65,66,67,77,80,82,97,98,100
2174,30,4,21,10,28,32,36,43,44,45,46,54,59,64,66,71,73,74,80,82,86,94,95
2175,4,5,21,1,5,6,19,20,22,26,28,31,37,40,46,54,55,57,59,66,75,87,92
2176,7,5,21,10,14,20,23,25,29,38,40,42,43,57,60,63,65,66,68,75,89,93,96
2177,11,5,21,6,7,8,24,29,31,34,36,43,50,51,52,57,65,68,87,88,91,96,97
2178,14,5,21,2,15,20,23,30,34,39,40,54,56,62,75,81,83,86,87,89,90,91,95
2179,18,5,2021,1,3,6,13,18,20,22,23,29,35,39,40,45,59,65,80,82,85,95,98
2180,21,5,2021,7,8,13,15,30,34,39,44,46,53,54,56,63,74,76,85,87,89,91,95
2181,25,5,2021,1,2,7,15,19,20,21,30,37,39,46,47,49,57,60,67,73,81,84,88
2182,28,5,2021,0,15,17,18,36,38,42,45,48,52,56,60,66,67,71,75,76,85,89,92
2183,1,6,2021,2,3,5,8,13,15,18,29,40,52,56,65,68,77,78,80,81,86,89,98
2184,4,6,2021,3,7,10,14,17,24,30,32,45,48,55,58,60,62,83,87,92,94,97,99
