Concurso,Dia,Mes,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Bola16,Bola17,Bola18,Bola19,Bola20
1831,12,1,18,1,3,5,6,9,11,26,29,31,35,53,54,62,63,66,70,79,80,87,91
1832,16,1,18,2,20,25,36,39,47,49,50,51,52,70,75,76,77,79,80,83,90,93,95
1833,19,1,18,1,5,7,15,16,20,25,36,37,53,57,58,76,77,78,80,82,85,88,93
1834,23,1,18,1,6,22,23,24,35,36,37,44,51,55,58,61,68,71,77,79,81,93,94
1835,26,1,18,1,4,9,15,17,18,20,27,53,55,62,67,68,70,74,79,84,93,94,99
1836,30,1,18,8,10,15,19,23,26,27,39,41,56,59,63,66,68,78,79,90,93,95,98
1837,2,2,18,14,16,18,24,30,34,37,42,48,49,57,59,60,70,74,77,82,83,85,94
1838,6,2,18,5,7,12,30,33,38,43,48,50,54,57,59,65,67,70,80,84,90,94,98
1839,9,2,18,3,7,15,19,34,37,42,48,51,52,58,62,70,72,81,85,87,89,97,98
1840,14,2,18,8,9,13,17,24,28,36,43,46,47,52,61,64,71,76,78,85,89,96,98
1841,17,2,18,0,3,6,10,19,26,32,35,36,41,42,51,56,61,65,74,77,78,89,95
1842,20,2,18,6,10,12,14,19,20,26,32,33,36,38,46,55,62,65,74,78,85,93,95
1843,23,2,18,0,1,12,13,16,28,30,35,36,38,40,41,44,46,56,64,72,82,89,98
1844,27,2,18,0,4,9,16,20,21,31,35,38,39,43,53,71,72,74,80,91,92,93,94
1845,2,3,18,0,1,12,13,20,32,35,40,48,54,58,64,67,70,84,86,87,91,92,94
1846,6,3,18,8,12,14,16,19,22,26,30,32,35,39,41,45,46,49,50,59,60,61,74
1847,9,3,18,3,4,5,6,14,16,26,33,41,46,51,53,67,69,70,73,75,84,94,95
1848,13,3,18,4,5,7,14,20,21,31,37,47,57,59,71,74,75,76,90,93,94,95,97
1849,16,3,18,14,15,23,29,48,53,58,59,61,68,69,71,72,74,77,79,80,94,95,97
1850,20,3,18,9,14,20,27,37,38,41,46,50,64,70,71,72,73,75,76,82,83,92,99
1851,23,3,18,9,17,26,31,32,37,38,40,43,44,48,50,60,63,80,82,83,85,88,95
1852,27,3,18,1,6,8,10,26,27,36,39,44,53,62,63,68,73,76,78,84,85,93,98
1853,29,3,18,9,12,14,21,34,39,43,56,57,59,61,63,72,75,77,80,84,87,88,93
1854,3,4,18,0,4,20,24,32,33,35,37,60,61,65,67,69,72,84,88,90,91,96,99
1855,6,4,18,3,4,6,10,15,19,20,21,28,45,50,56,57,60,61,64,65,79,80,97
1856,10,4,18,3,8,9,12,17,24,30,32,35,38,42,45,51,79,80,82,83,85,96,99
1857,13,4,18,1,6,11,13,18,24,28,38,41,44,50,53,61,63,70,76,78,91,92,98
1858,17,4,18,1,2,5,6,11,16,22,30,31,34,36,38,39,40,42,49,62,76,79,95
1859,20,4,18,0,7,11,12,24,32,37,39,47,48,57,58,60,65,66,71,74,77,79,84
1860,24,4,18,6,9,11,13,27,30,38,51,56,65,73,75,77,78,79,80,91,92,95,99
1861,27,4,18,1,8,13,15,27,38,41,49,52,60,63,64,69,72,75,76,89,91,93,96
1862,2,5,18,3,5,8,18,26,30,38,43,44,46,49,54,60,61,65,70,71,72,87,95
1863,4,5,18,2,8,14,17,22,33,34,43,44,48,53,56,60,70,72,78,79,83,85,97
1864,8,5,18,2,7,11,22,24,34,42,45,51,52,56,58,62,64,68,75,79,94,96,99
1865,11,5,18,0,1,8,14,17,31,41,45,49,51,58,61,62,66,67,75,81,86,92,97
1866,15,5,18,5,17,19,22,24,26,33,40,52,61,62,64,67,69,70,73,75,79,83,99
1867,18,5,18,3,5,10,15,20,38,39,45,50,53,57,60,64,72,77,79,85,86,96,99
1868,22,5,18,0,8,12,22,27,29,31,39,40,42,47,48,51,60,61,64,87,89,95,99
1869,25,5,18,12,13,18,20,21,26,27,30,32,33,36,41,43,48,49,65,75,83,95,96
1870,29,5,18,0,1,3,11,12,18,21,23,25,36,38,39,40,42,44,49,79,80,95,98
1871,1,6,18,1,4,7,10,23,27,32,33,35,36,40,45,54,56,60,77,84,86,91,92
1872,5,6,18,3,6,10,11,18,38,50,52,60,62,65,70,72,74,81,83,84,90,92,95
1873,8,6,18,2,8,10,23,26,28,35,39,40,41,43,51,58,65,66,68,74,76,86,91
1874,12,6,18,0,1,8,13,23,34,35,37,38,41,44,55,65,66,70,71,72,74,78,90
1875,15,6,18,3,4,5,6,8,17,18,20,25,27,31,46,49,50,67,72,73,88,91,99
1876,19,6,18,10,17,22,24,29,33,39,40,44,48,50,62,64,66,74,76,86,90,93,95
1877,22,6,18,3,4,11,19,26,28,33,38,44,46,57,67,70,81,82,85,88,93,94,98
1878,26,6,18,2,9,11,14,15,25,29,47,51,57,58,69,70,78,82,84,86,88,91,99
1879,29,6,18,2,7,8,12,20,22,23,29,34,35,39,50,51,57,60,62,64,79,82,86
1880,3,7,18,0,3,4,13,17,24,31,32,36,46,48,54,58,61,67,75,82,90,96,97
